trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Out of Time,The Weeknd,214193,canadian contemporary r&b,0.65,0.76,0.0,-4.422,0.0,0.0446,0.255,0.0,0.339,0.838,93.057,audio_features,2SLwbpExuoBDZBpjfefCtV,spotify:track:2SLwbpExuoBDZBpjfefCtV,https://api.spotify.com/v1/tracks/2SLwbpExuoBDZBpjfefCtV,https://api.spotify.com/v1/audio-analysis/2SLwbpExuoBDZBpjfefCtV,214194.0,4.0
PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese,164157,alt z,0.602,0.642,2.0,-5.404,0.0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,audio_features,7xNCacksfUkYXsXuSW4vNF,spotify:track:7xNCacksfUkYXsXuSW4vNF,https://api.spotify.com/v1/tracks/7xNCacksfUkYXsXuSW4vNF,https://api.spotify.com/v1/audio-analysis/7xNCacksfUkYXsXuSW4vNF,152214.0,4.0
Panama,Matteo,20340,romanian pop,0.864,0.718,1.0,-6.498,0.0,0.0362,0.209,0.0,0.217,0.967,99.967,audio_features,0MVXN51Cbel5hSeVGFx5N1,spotify:track:0MVXN51Cbel5hSeVGFx5N1,https://api.spotify.com/v1/tracks/0MVXN51Cbel5hSeVGFx5N1,https://api.spotify.com/v1/audio-analysis/0MVXN51Cbel5hSeVGFx5N1,200700.0,4.0
Papercuts,Landon Conrath,172654,,0.616,0.925,10.0,-5.546,1.0,0.0469,0.235,0.0,0.0709,0.939,176.036,audio_features,1uAkU42SNZn4PlUFrS8zmg,spotify:track:1uAkU42SNZn4PlUFrS8zmg,https://api.spotify.com/v1/tracks/1uAkU42SNZn4PlUFrS8zmg,https://api.spotify.com/v1/audio-analysis/1uAkU42SNZn4PlUFrS8zmg,172654.0,4.0
Passin' Me By,The Pharcyde,302906,alternative hip hop,0.759,0.756,4.0,-8.145,0.0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,audio_features,4G3dZN9o3o2X4VKwt4CLts,spotify:track:4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/tracks/4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/audio-analysis/4G3dZN9o3o2X4VKwt4CLts,303493.0,4.0
Playground (from the series Arcane League of Legends),Bea Miller,230525,alt z,0.514,0.703,8.0,-6.859,1.0,0.0298,0.0107,7.62e-05,0.13,0.356,157.399,audio_features,5f2zZawBtGBEw24ABweErz,spotify:track:5f2zZawBtGBEw24ABweErz,https://api.spotify.com/v1/tracks/5f2zZawBtGBEw24ABweErz,https://api.spotify.com/v1/audio-analysis/5f2zZawBtGBEw24ABweErz,230526.0,4.0
Pure,Gervs,284014,bedroom r&b,0.637,0.552,4.0,-7.239,1.0,0.105,0.468,0.0,0.135,0.51,184.015,audio_features,4Pk6Ev4ct2FotdWvf563Hv,spotify:track:4Pk6Ev4ct2FotdWvf563Hv,https://api.spotify.com/v1/tracks/4Pk6Ev4ct2FotdWvf563Hv,https://api.spotify.com/v1/audio-analysis/4Pk6Ev4ct2FotdWvf563Hv,127007.0,4.0
Running Up That Hill (A Deal With God),Kate Bush,298933,art pop,0.629,0.545,10.0,-13.123,0.0,0.0546,0.719,0.00308,0.0604,0.194,108.376,audio_features,1PtQJZVZIdWIYdARpZRDFO,spotify:track:1PtQJZVZIdWIYdARpZRDFO,https://api.spotify.com/v1/tracks/1PtQJZVZIdWIYdARpZRDFO,https://api.spotify.com/v1/audio-analysis/1PtQJZVZIdWIYdARpZRDFO,298933.0,4.0
S.T.A.Y.,Hans Zimmer,2301078,german soundtrack,0.0793,0.0301,5.0,-30.777,1.0,0.0425,0.933,0.929,0.0741,0.0256,191.413,audio_features,6GUq9y0Iy5QrAuPYxTrFp2,spotify:track:6GUq9y0Iy5QrAuPYxTrFp2,https://api.spotify.com/v1/tracks/6GUq9y0Iy5QrAuPYxTrFp2,https://api.spotify.com/v1/audio-analysis/6GUq9y0Iy5QrAuPYxTrFp2,383513.0,3.0
See The Light,Stephen Sanchez,180146,gen z singer-songwriter,0.728,0.796,4.0,-5.33,1.0,0.0461,0.162,9.28e-06,0.196,0.691,117.925,audio_features,5nsFJfYtAFZmL9PbtYKYcA,spotify:track:5nsFJfYtAFZmL9PbtYKYcA,https://api.spotify.com/v1/tracks/5nsFJfYtAFZmL9PbtYKYcA,https://api.spotify.com/v1/audio-analysis/5nsFJfYtAFZmL9PbtYKYcA,180147.0,4.0
